storm_id,usa_atcf_id,geoid,closest_date,storm_dist
Harvey-2017,AL092017,22015011200,2017-08-31T06:45:00Z,174.95872074971
Harvey-2017,AL092017,22015011300,2017-08-31T05:00:00Z,158.443202261636
Harvey-2017,AL092017,22017020500,2017-08-31T05:00:00Z,162.739093075969
Harvey-2017,AL092017,22017020600,2017-08-31T04:45:00Z,161.650663393467
Harvey-2017,AL092017,22017020700,2017-08-31T04:45:00Z,161.347862378069
Harvey-2017,AL092017,22017021000,2017-08-31T04:45:00Z,158.798700362494
Harvey-2017,AL092017,22017021100,2017-08-31T04:45:00Z,158.122138905096
Harvey-2017,AL092017,22017021200,2017-08-31T04:45:00Z,157.633727592202
Harvey-2017,AL092017,22017021300,2017-08-31T04:45:00Z,156.919542469761
Harvey-2017,AL092017,22017021400,2017-08-31T04:45:00Z,155.558211538651
Harvey-2017,AL092017,22017021500,2017-08-31T04:45:00Z,156.476271509446
Harvey-2017,AL092017,22017021600,2017-08-31T04:30:00Z,157.698613839516
Harvey-2017,AL092017,22017021700,2017-08-31T04:30:00Z,159.696140159445
Harvey-2017,AL092017,22017021800,2017-08-31T04:30:00Z,160.373012447827
Harvey-2017,AL092017,22017021900,2017-08-31T04:45:00Z,161.329818460074
Harvey-2017,AL092017,22017022000,2017-08-31T04:45:00Z,162.518087418948
Harvey-2017,AL092017,22017022100,2017-08-31T04:30:00Z,162.513810320069
Harvey-2017,AL092017,22017022200,2017-08-31T04:30:00Z,163.204820744166
Harvey-2017,AL092017,22017022300,2017-08-31T04:30:00Z,161.321865108421
Harvey-2017,AL092017,22017022400,2017-08-31T04:30:00Z,160.172257318509
Harvey-2017,AL092017,22017022500,2017-08-31T04:30:00Z,158.77736851676
Harvey-2017,AL092017,22017022600,2017-08-31T04:30:00Z,156.995942863836
Harvey-2017,AL092017,22017022700,2017-08-31T04:30:00Z,155.586765303694
Harvey-2017,AL092017,22017022800,2017-08-31T04:45:00Z,154.625335993523
Harvey-2017,AL092017,22017022900,2017-08-31T04:45:00Z,154.005354671272
Harvey-2017,AL092017,22017023000,2017-08-31T04:30:00Z,153.816026918354
Harvey-2017,AL092017,22017023100,2017-08-31T04:30:00Z,155.461736373077
Harvey-2017,AL092017,22017023200,2017-08-31T04:30:00Z,156.711244808082
Harvey-2017,AL092017,22017023300,2017-08-31T04:30:00Z,158.104350309865
Harvey-2017,AL092017,22017023400,2017-08-31T04:15:00Z,159.592862827463
Harvey-2017,AL092017,22017023500,2017-08-31T04:15:00Z,161.347904558947
Harvey-2017,AL092017,22017023600,2017-08-31T04:15:00Z,162.488698188864
Harvey-2017,AL092017,22017023700,2017-08-31T04:15:00Z,157.077044706539
Harvey-2017,AL092017,22017023800,2017-08-31T04:15:00Z,154.845108512615
Harvey-2017,AL092017,22017023901,2017-08-31T04:30:00Z,150.679528781562
Harvey-2017,AL092017,22017023903,2017-08-31T04:15:00Z,152.950080556116
Harvey-2017,AL092017,22017023904,2017-08-31T04:30:00Z,153.286308130833
Harvey-2017,AL092017,22017023905,2017-08-31T04:15:00Z,151.4770249368
Harvey-2017,AL092017,22017024000,2017-08-31T04:00:00Z,148.839271510685
Harvey-2017,AL092017,22017024102,2017-08-31T03:45:00Z,155.82209776009
Harvey-2017,AL092017,22017024104,2017-08-31T04:15:00Z,157.34667316225
Harvey-2017,AL092017,22017024106,2017-08-31T04:00:00Z,160.122714380293
Harvey-2017,AL092017,22017024107,2017-08-31T04:00:00Z,159.440220973343
Harvey-2017,AL092017,22017024108,2017-08-31T04:00:00Z,157.419877399253
Harvey-2017,AL092017,22017024109,2017-08-31T04:00:00Z,155.988265795093
Harvey-2017,AL092017,22017024201,2017-08-31T04:00:00Z,164.089142385182
Harvey-2017,AL092017,22017024202,2017-08-31T03:30:00Z,162.50078252371
Harvey-2017,AL092017,22017024203,2017-08-31T02:45:00Z,165.208707244612
Harvey-2017,AL092017,22017024301,2017-08-31T04:15:00Z,169.139726067979
Harvey-2017,AL092017,22017024303,2017-08-31T04:00:00Z,165.8131864909
Harvey-2017,AL092017,22017024304,2017-08-31T03:30:00Z,172.561257616348
Harvey-2017,AL092017,22017024400,2017-08-31T04:15:00Z,166.557774916838
Harvey-2017,AL092017,22017024503,2017-08-31T05:00:00Z,172.042096370672
Harvey-2017,AL092017,22017024504,2017-08-31T05:00:00Z,182.646680182144
Harvey-2017,AL092017,22017024601,2017-08-31T04:45:00Z,168.52433812863
Harvey-2017,AL092017,22017024602,2017-08-31T04:45:00Z,165.515266454682
Harvey-2017,AL092017,22017024700,2017-08-31T05:00:00Z,166.102518023577
Harvey-2017,AL092017,22017024800,2017-08-31T05:45:00Z,177.999478589675
Harvey-2017,AL092017,22017024900,2017-08-31T05:45:00Z,195.36892974763
Harvey-2017,AL092017,22017025000,2017-08-31T06:00:00Z,199.413901459454
Harvey-2017,AL092017,22017025100,2017-08-31T06:30:00Z,198.579017719188
Harvey-2017,AL092017,22017025200,2017-08-31T04:45:00Z,160.545986394392
Harvey-2017,AL092017,22017025300,2017-08-31T04:45:00Z,159.650813542277
Harvey-2017,AL092017,22017025405,2017-08-31T05:00:00Z,174.288779259457
Harvey-2017,AL092017,22017025406,2017-08-31T04:45:00Z,173.625081629449
Harvey-2017,AL092017,22017980000,2017-08-31T04:15:00Z,163.134442389391
Harvey-2017,AL092017,22019000100,2017-08-30T14:30:00Z,10.1581671245384
Harvey-2017,AL092017,22019000200,2017-08-30T14:45:00Z,10.1994118493101
Harvey-2017,AL092017,22019000300,2017-08-30T15:00:00Z,10.2169363796691
Harvey-2017,AL092017,22019000400,2017-08-30T14:45:00Z,11.1389394635784
Harvey-2017,AL092017,22019000500,2017-08-30T14:30:00Z,10.3593736332412
Harvey-2017,AL092017,22019000600,2017-08-30T14:30:00Z,12.7082304274207
Harvey-2017,AL092017,22019000700,2017-08-30T14:15:00Z,9.71404095361077
Harvey-2017,AL092017,22019000800,2017-08-30T14:30:00Z,11.4690193357659
Harvey-2017,AL092017,22019000900,2017-08-30T14:30:00Z,12.9919803987594
Harvey-2017,AL092017,22019001000,2017-08-30T14:00:00Z,10.8669486461349
Harvey-2017,AL092017,22019001100,2017-08-30T14:15:00Z,12.2854108221266
Harvey-2017,AL092017,22019001201,2017-08-30T14:15:00Z,13.3527868434879
Harvey-2017,AL092017,22019001202,2017-08-30T14:15:00Z,14.5330700920078
Harvey-2017,AL092017,22019001300,2017-08-30T14:00:00Z,12.3992551193953
Harvey-2017,AL092017,22019001400,2017-08-30T15:00:00Z,11.6821953150788
Harvey-2017,AL092017,22019001500,2017-08-30T14:45:00Z,12.1946908526379
Harvey-2017,AL092017,22019001600,2017-08-30T14:45:00Z,15.1226097706314
Harvey-2017,AL092017,22019001700,2017-08-30T13:45:00Z,17.0596623936327
Harvey-2017,AL092017,22019001801,2017-08-30T13:30:00Z,9.76561850793455
Harvey-2017,AL092017,22019001901,2017-08-30T14:00:00Z,8.42325720097389
Harvey-2017,AL092017,22019001903,2017-08-30T13:45:00Z,10.5897343839192
Harvey-2017,AL092017,22019001904,2017-08-30T13:45:00Z,8.84572311206145
Harvey-2017,AL092017,22019002000,2017-08-30T15:15:00Z,22.9331846267439
Harvey-2017,AL092017,22019002100,2017-08-30T15:30:00Z,26.656188437923
Harvey-2017,AL092017,22019002201,2017-08-30T15:45:00Z,3.44868760642076
Harvey-2017,AL092017,22019002203,2017-08-30T15:30:00Z,5.07675074087489
Harvey-2017,AL092017,22019002204,2017-08-30T15:30:00Z,7.83436521461532
Harvey-2017,AL092017,22019002300,2017-08-30T15:00:00Z,8.00846294040114
Harvey-2017,AL092017,22019002400,2017-08-30T15:45:00Z,20.4316333349698
Harvey-2017,AL092017,22019002500,2017-08-30T15:00:00Z,4.94424337091766
Harvey-2017,AL092017,22019002600,2017-08-30T14:45:00Z,4.73152129267865
Harvey-2017,AL092017,22019002700,2017-08-30T14:15:00Z,5.38015847423049
Harvey-2017,AL092017,22019002800,2017-08-30T14:00:00Z,4.95062591777178
Harvey-2017,AL092017,22019002900,2017-08-30T13:45:00Z,4.61255377552096
Harvey-2017,AL092017,22019003000,2017-08-30T14:00:00Z,3.04198340482216
Harvey-2017,AL092017,22019003101,2017-08-30T14:00:00Z,0.805584809401559
Harvey-2017,AL092017,22019003102,2017-08-30T14:15:00Z,1.13669055582299
Harvey-2017,AL092017,22019003200,2017-08-30T13:15:00Z,0.81825336858922
Harvey-2017,AL092017,22019003300,2017-08-30T13:30:00Z,1.9116748240972
Harvey-2017,AL092017,22019003400,2017-08-30T13:00:00Z,6.81018855378815
Harvey-2017,AL092017,22019003500,2017-08-30T12:15:00Z,20.0191986633444
Harvey-2017,AL092017,22019003600,2017-08-30T13:00:00Z,28.6034721762893
Harvey-2017,AL092017,22019980000,2017-08-30T14:45:00Z,16.2444566206102
Harvey-2017,AL092017,22019980100,2017-08-30T13:30:00Z,14.4981040793386
Harvey-2017,AL092017,22021000100,2017-08-31T08:45:00Z,2.34250715117225
Harvey-2017,AL092017,22021000200,2017-08-31T07:45:00Z,8.43335275148623
Harvey-2017,AL092017,22021000300,2017-08-31T07:15:00Z,2.18465334167461
Harvey-2017,AL092017,22023970100,2017-08-30T11:30:00Z,28.895255093255
Harvey-2017,AL092017,22023970201,2017-08-30T09:00:00Z,6.68733183856978
Harvey-2017,AL092017,22023990000,2017-08-30T07:30:00Z,1.23720887938449
Harvey-2017,AL092017,22025000100,2017-08-31T07:00:00Z,38.0055742465234
Harvey-2017,AL092017,22025000200,2017-08-31T05:15:00Z,46.27465418944
Harvey-2017,AL092017,22025000300,2017-08-31T05:00:00Z,44.0274093222254
Harvey-2017,AL092017,22027950100,2017-08-31T09:45:00Z,113.324321030598
Harvey-2017,AL092017,22027950200,2017-08-31T09:30:00Z,129.509378923972
Harvey-2017,AL092017,22027950300,2017-08-31T09:30:00Z,139.791668402767
Harvey-2017,AL092017,22027950400,2017-08-31T08:45:00Z,122.850833426101
Harvey-2017,AL092017,22027950500,2017-08-31T08:00:00Z,112.871748733035
Harvey-2017,AL092017,22029000100,2017-08-31T07:30:00Z,63.8201113603592
Harvey-2017,AL092017,22029000200,2017-08-31T06:45:00Z,66.7246270135459
Harvey-2017,AL092017,22029000300,2017-08-31T06:45:00Z,73.9311248605013
Harvey-2017,AL092017,22029000400,2017-08-31T07:00:00Z,80.1650171585843
Harvey-2017,AL092017,22029000500,2017-08-31T04:45:00Z,63.86750465013
Harvey-2017,AL092017,22031950100,2017-08-31T03:00:00Z,149.818282686018
Harvey-2017,AL092017,22031950200,2017-08-31T00:45:00Z,153.083944139785
Harvey-2017,AL092017,22031950300,2017-08-31T02:15:00Z,133.234275769082
Harvey-2017,AL092017,22031950400,2017-08-31T01:45:00Z,131.331938529535
Harvey-2017,AL092017,22031950500,2017-08-31T01:15:00Z,131.403196908604
Harvey-2017,AL092017,22031950600,2017-08-31T01:30:00Z,129.579161812391
Harvey-2017,AL092017,22031950700,2017-08-31T00:30:00Z,129.541296664428
Harvey-2017,AL092017,22033000100,2017-08-30T23:45:00Z,163.367253017871
Harvey-2017,AL092017,22033000200,2017-08-30T23:45:00Z,165.459277858429
Harvey-2017,AL092017,22033000300,2017-08-30T23:30:00Z,163.840301466064
Harvey-2017,AL092017,22033000400,2017-08-30T23:45:00Z,164.952394537919
Harvey-2017,AL092017,22033000500,2017-08-30T23:30:00Z,164.682359182698
Harvey-2017,AL092017,22033000601,2017-08-30T23:30:00Z,165.491218053149
Harvey-2017,AL092017,22033000602,2017-08-30T23:30:00Z,166.210527473917
Harvey-2017,AL092017,22033000701,2017-08-30T23:45:00Z,166.960841176324
Harvey-2017,AL092017,22033000702,2017-08-30T23:30:00Z,167.598953321656
Harvey-2017,AL092017,22033000900,2017-08-30T23:30:00Z,165.729772519542
Harvey-2017,AL092017,22033001000,2017-08-30T23:30:00Z,166.928327656514
Harvey-2017,AL092017,22033001102,2017-08-30T23:30:00Z,169.863538410865
Harvey-2017,AL092017,22033001103,2017-08-30T23:30:00Z,168.031963121875
Harvey-2017,AL092017,22033001104,2017-08-30T23:30:00Z,169.125735369599
Harvey-2017,AL092017,22033001600,2017-08-30T23:15:00Z,166.680008863371
Harvey-2017,AL092017,22033001700,2017-08-30T23:30:00Z,168.055397463368
Harvey-2017,AL092017,22033001800,2017-08-30T23:30:00Z,169.455464977022
Harvey-2017,AL092017,22033001900,2017-08-30T23:30:00Z,169.91458894592
Harvey-2017,AL092017,22033002000,2017-08-30T23:30:00Z,172.221281385952
Harvey-2017,AL092017,22033002200,2017-08-30T23:15:00Z,166.203722379545
Harvey-2017,AL092017,22033002300,2017-08-30T23:15:00Z,167.468068531059
Harvey-2017,AL092017,22033002400,2017-08-30T23:15:00Z,165.895968484477
Harvey-2017,AL092017,22033002500,2017-08-30T23:15:00Z,166.756750023983
Harvey-2017,AL092017,22033002601,2017-08-30T23:15:00Z,168.856749044503
Harvey-2017,AL092017,22033002602,2017-08-30T23:15:00Z,171.792463476883
Harvey-2017,AL092017,22033002700,2017-08-30T23:15:00Z,169.095524768088
Harvey-2017,AL092017,22033002801,2017-08-30T23:15:00Z,166.38759404711
Harvey-2017,AL092017,22033002802,2017-08-30T23:15:00Z,167.713695065073
Harvey-2017,AL092017,22033003000,2017-08-30T23:45:00Z,158.718934760581
Harvey-2017,AL092017,22033003101,2017-08-30T23:45:00Z,160.092715743779
Harvey-2017,AL092017,22033003103,2017-08-30T23:45:00Z,161.334544856574
Harvey-2017,AL092017,22033003201,2017-08-31T00:00:00Z,163.982380289825
Harvey-2017,AL092017,22033003202,2017-08-31T00:00:00Z,163.817829918473
Harvey-2017,AL092017,22033003300,2017-08-30T23:45:00Z,161.955599908302
Harvey-2017,AL092017,22033003400,2017-08-30T23:45:00Z,164.788974368008
Harvey-2017,AL092017,22033003501,2017-08-30T23:45:00Z,168.60062119408
Harvey-2017,AL092017,22033003504,2017-08-30T23:45:00Z,166.621267708733
Harvey-2017,AL092017,22033003505,2017-08-30T23:45:00Z,167.812922137074
Harvey-2017,AL092017,22033003506,2017-08-30T23:45:00Z,171.281873010526
Harvey-2017,AL092017,22033003507,2017-08-31T00:00:00Z,173.431889252027
Harvey-2017,AL092017,22033003601,2017-08-30T23:45:00Z,172.230178411615
Harvey-2017,AL092017,22033003603,2017-08-30T23:45:00Z,173.490638403294
Harvey-2017,AL092017,22033003604,2017-08-30T23:45:00Z,174.701471740946
Harvey-2017,AL092017,22033003701,2017-08-30T23:30:00Z,173.495363035241
Harvey-2017,AL092017,22033003702,2017-08-30T23:45:00Z,174.449686660485
Harvey-2017,AL092017,22033003703,2017-08-30T23:45:00Z,175.728110170429
Harvey-2017,AL092017,22033003801,2017-08-30T23:15:00Z,171.193106880814
Harvey-2017,AL092017,22033003802,2017-08-30T23:30:00Z,174.223566385687
Harvey-2017,AL092017,22033003804,2017-08-30T23:15:00Z,174.448130396146
Harvey-2017,AL092017,22033003805,2017-08-30T23:15:00Z,177.077872186127
Harvey-2017,AL092017,22033003904,2017-08-30T23:45:00Z,176.70979195194
Harvey-2017,AL092017,22033003906,2017-08-30T23:30:00Z,179.663794597094
Harvey-2017,AL092017,22033003907,2017-08-30T23:30:00Z,177.720080088851
Harvey-2017,AL092017,22033003908,2017-08-30T23:30:00Z,178.874933772281
Harvey-2017,AL092017,22033003909,2017-08-30T23:30:00Z,175.929358446466
Harvey-2017,AL092017,22033003910,2017-08-30T23:30:00Z,176.882970745861
Harvey-2017,AL092017,22033004005,2017-08-30T23:15:00Z,174.902627069154
Harvey-2017,AL092017,22033004006,2017-08-30T23:15:00Z,177.128441078273
Harvey-2017,AL092017,22033004009,2017-08-30T23:15:00Z,181.041668417846
Harvey-2017,AL092017,22033004010,2017-08-30T23:15:00Z,179.237680487354
Harvey-2017,AL092017,22033004011,2017-08-30T23:00:00Z,173.823381798102
Harvey-2017,AL092017,22033004013,2017-08-30T23:00:00Z,167.986707071941
Harvey-2017,AL092017,22033004014,2017-08-30T23:00:00Z,168.106958506696
Harvey-2017,AL092017,22033004015,2017-08-30T23:00:00Z,175.131245901746
Harvey-2017,AL092017,22033004016,2017-08-30T23:00:00Z,179.577097648005
Harvey-2017,AL092017,22033004201,2017-08-31T00:00:00Z,160.752115548514
Harvey-2017,AL092017,22033004203,2017-08-31T00:00:00Z,156.852904826044
Harvey-2017,AL092017,22033004204,2017-08-31T00:15:00Z,158.694212133473
Harvey-2017,AL092017,22033004205,2017-08-31T00:00:00Z,159.700929521908
Harvey-2017,AL092017,22033004301,2017-08-31T00:15:00Z,166.311633422001
Harvey-2017,AL092017,22033004302,2017-08-31T00:30:00Z,170.066624467324
Harvey-2017,AL092017,22033004401,2017-08-31T00:00:00Z,170.488217181401
Harvey-2017,AL092017,22033004402,2017-08-31T00:15:00Z,173.450112476756
Harvey-2017,AL092017,22033004403,2017-08-31T00:00:00Z,176.190675094356
Harvey-2017,AL092017,22033004503,2017-08-30T23:45:00Z,177.085389799799
Harvey-2017,AL092017,22033004504,2017-08-30T23:45:00Z,178.699721943112
Harvey-2017,AL092017,22033004505,2017-08-30T23:45:00Z,180.810388255846
Harvey-2017,AL092017,22033004507,2017-08-30T23:30:00Z,181.60591101092
Harvey-2017,AL092017,22033004508,2017-08-30T23:30:00Z,183.269731743218
Harvey-2017,AL092017,22033004509,2017-08-30T23:30:00Z,182.782341080121
Harvey-2017,AL092017,22033004510,2017-08-30T23:30:00Z,185.559533826499
Harvey-2017,AL092017,22033004602,2017-08-31T00:30:00Z,156.508581344126
Harvey-2017,AL092017,22033004603,2017-08-31T00:15:00Z,148.769098822332
Harvey-2017,AL092017,22033004604,2017-08-31T00:30:00Z,153.431909104856
Harvey-2017,AL092017,22033004700,2017-08-31T01:00:00Z,166.459018092798
Harvey-2017,AL092017,22033004800,2017-08-30T23:00:00Z,169.020440986217
Harvey-2017,AL092017,22033004900,2017-08-30T23:00:00Z,171.456638832336
Harvey-2017,AL092017,22033005000,2017-08-30T23:00:00Z,173.333806688724
Harvey-2017,AL092017,22033005100,2017-08-30T23:30:00Z,164.371933675427
Harvey-2017,AL092017,22033005200,2017-08-30T23:15:00Z,165.382078956392
Harvey-2017,AL092017,22033005300,2017-08-30T23:15:00Z,165.643218962583
Harvey-2017,AL092017,22033980000,2017-08-30T23:45:00Z,162.416818629816
Harvey-2017,AL092017,22035000100,2017-08-31T15:00:00Z,20.7266639882117
Harvey-2017,AL092017,22035000200,2017-08-31T14:15:00Z,26.6833775220034
Harvey-2017,AL092017,22035000300,2017-08-31T14:45:00Z,22.6351011977497
Harvey-2017,AL092017,22037951300,2017-08-31T02:45:00Z,152.66318173646
Harvey-2017,AL092017,22037951400,2017-08-31T01:45:00Z,143.419615429859
Harvey-2017,AL092017,22037951501,2017-08-31T00:45:00Z,148.069370390861
Harvey-2017,AL092017,22037951502,2017-08-31T01:15:00Z,147.412493649164
Harvey-2017,AL092017,22037951600,2017-08-31T02:00:00Z,161.554537415809
Harvey-2017,AL092017,22039950100,2017-08-30T21:45:00Z,47.1729278077798
Harvey-2017,AL092017,22039950200,2017-08-30T21:30:00Z,38.0085787873769
Harvey-2017,AL092017,22039950300,2017-08-30T19:30:00Z,50.3216903027413
Harvey-2017,AL092017,22039950400,2017-08-30T20:45:00Z,54.0598444646589
Harvey-2017,AL092017,22039950500,2017-08-30T21:15:00Z,60.8788065975548
Harvey-2017,AL092017,22039950600,2017-08-30T21:15:00Z,62.2054453274435
Harvey-2017,AL092017,22039950700,2017-08-30T21:30:00Z,65.2318118377902
Harvey-2017,AL092017,22039950800,2017-08-30T20:45:00Z,63.8079501184128
Harvey-2017,AL092017,22041950100,2017-08-31T11:00:00Z,18.0969475185121
Harvey-2017,AL092017,22041950200,2017-08-31T10:00:00Z,20.0286956609981
Harvey-2017,AL092017,22041950300,2017-08-31T10:00:00Z,19.3697677721123
