storm_id,usa_atcf_id,geoid,date,vmax_sust,vmax_gust,sust_dur,gust_dur
Harvey-2017,AL092017,22013970200,2017-08-31 02:15:00,9.070096106437314,13.514443198591596,0,0
Harvey-2017,AL092017,22013970300,2017-08-30 11:45:00,9.78582350805088,14.580877026995811,0,0
Harvey-2017,AL092017,22013970400,2017-08-30 11:45:00,10.020779301110602,14.930961158654798,0,0
Harvey-2017,AL092017,22013970500,2017-08-30 11:45:00,9.938644178836467,14.808579826466337,0,0
Harvey-2017,AL092017,22015010400,2017-08-30 11:45:00,9.027005198273486,13.450237745427494,0,0
Harvey-2017,AL092017,22015010500,2017-08-30 11:45:00,8.975843563390512,13.374006909451863,0,0
Harvey-2017,AL092017,22015010601,2017-08-30 11:45:00,9.003181253786819,13.41474006814236,0,0
Harvey-2017,AL092017,22015010602,2017-08-30 11:45:00,9.03246102732635,13.458366930716263,0,0
Harvey-2017,AL092017,22015010701,2017-08-30 11:45:00,9.077513938139518,13.52549576782788,0,0
Harvey-2017,AL092017,22015010702,2017-08-30 11:45:00,9.103281636685287,13.563889638661077,0,0
Harvey-2017,AL092017,22015010801,2017-08-30 11:45:00,9.114228978684393,13.580201178239745,0,0
Harvey-2017,AL092017,22015010804,2017-08-30 11:45:00,9.262862687015415,13.801665403652969,0,0
Harvey-2017,AL092017,22015010805,2017-08-30 11:45:00,9.219252827078181,13.73668671234649,0,0
Harvey-2017,AL092017,22015010806,2017-08-30 11:45:00,9.191441997413678,13.69524857614638,0,0
Harvey-2017,AL092017,22015010900,2017-08-30 11:45:00,9.124580922010702,13.595625573795946,0,0
Harvey-2017,AL092017,22015011001,2017-08-30 11:45:00,9.365035230908378,13.953902494053482,0,0
Harvey-2017,AL092017,22015011002,2017-08-30 11:45:00,9.476782195811817,14.120405471759607,0,0
Harvey-2017,AL092017,22015011103,2017-08-30 11:45:00,8.747812675858103,13.034240887028574,0,0
Harvey-2017,AL092017,22015011105,2017-08-30 11:45:00,8.973956066545496,13.371194539152789,0,0
Harvey-2017,AL092017,22015011106,2017-08-30 11:45:00,8.993138456678517,13.399776300450991,0,0
Harvey-2017,AL092017,22015011107,2017-08-30 11:45:00,8.471335125278099,12.622289336664368,0,0
Harvey-2017,AL092017,22015011108,2017-08-30 11:45:00,8.668698305723256,12.91636047552765,0,0
Harvey-2017,AL092017,22015011109,2017-08-30 11:45:00,8.92340040163625,13.295866598438014,0,0
Harvey-2017,AL092017,22015011110,2017-08-30 11:45:00,8.855187315816918,13.194229100567208,0,0
Harvey-2017,AL092017,22015011200,2017-08-30 11:45:00,7.991122335939177,11.906772280549374,0,0
Harvey-2017,AL092017,22015011300,2017-08-30 11:45:00,9.052250659008623,13.487853481922848,0,0
Harvey-2017,AL092017,22017020500,2017-08-30 11:45:00,8.965899053391619,13.35918958955351,0,0
