storm_id,usa_atcf_id,geoid,max_pct_out,avg_customer_hrs_out
Harvey-2017,AL092017,22001,0.039885450091432906,0.23869164682745056
Harvey-2017,AL092017,22003,0.1368942731277533,2.2598568281938327
Harvey-2017,AL092017,22005,0.05838780799133563,0.28965207132634513
Harvey-2017,AL092017,22007,0.502077767883645,4.5436702285544674
Harvey-2017,AL092017,22009,0.033863607284514013,0.41900882842154646
Harvey-2017,AL092017,22011,0.0981074364366278,1.6536226342955458
Harvey-2017,AL092017,22013,0.11330049261083744,3.2824137931034483
Harvey-2017,AL092017,22015,0.03172513378068462,0.38321795634077976
Harvey-2017,AL092017,22017,0.03589246691130994,0.325282782885966
Harvey-2017,AL092017,22019,0.11432120532136561,2.243533619169739
Harvey-2017,AL092017,22021,0.03361344537815126,0.2524097874443895
Harvey-2017,AL092017,22023,0.22152133580705008,1.774582560296846
Harvey-2017,AL092017,22025,5.125576627370579e-4,0.0020502306509482316
Harvey-2017,AL092017,22027,0.0377859477124183,0.5723549836601307
Harvey-2017,AL092017,22029,0.05753646677471637,0.1863567955545265
Harvey-2017,AL092017,22031,0.04277286135693215,0.9720956966857539
Harvey-2017,AL092017,22033,0.0341162216319493,0.25505731860757724
Harvey-2017,AL092017,22035,0.2184691664084289,0.5799504183452123
Harvey-2017,AL092017,22037,0.24064243909078536,1.0492037566353614
Harvey-2017,AL092017,22039,0.013329172610556349,0.19449893009985733
Harvey-2017,AL092017,22041,0.0725844277673546,0.1578330206378987
Harvey-2017,AL092017,22043,0.04280432309442549,0.7381790386803185
Harvey-2017,AL092017,22045,0.013558486379884136,0.1349597647514571
Harvey-2017,AL092017,22047,0.011955593509820665,0.18084970111016227
Harvey-2017,AL092017,22049,0.32744479495268136,0.9266035751840168
Harvey-2017,AL092017,22051,0.023892071801894725,0.20769482461234431
Harvey-2017,AL092017,22053,0.08228180862250263,0.2772082018927445
Harvey-2017,AL092017,22055,0.005919179594445413,0.0765044884085759
Harvey-2017,AL092017,22057,0.19030948046492088,0.47964570788404987
Harvey-2017,AL092017,22059,0.29081081081081084,0.2853281853281853
Harvey-2017,AL092017,22061,0.05725363246254611,0.16714974026951743
Harvey-2017,AL092017,22063,0.047040159711948096,0.23573109213739504
Harvey-2017,AL092017,22065,1,2.1279316506589234
Harvey-2017,AL092017,22067,0.03241984596095289,0.3510657352677772
Harvey-2017,AL092017,22069,0.0750455373406193,1.754014875531269
Harvey-2017,AL092017,22071,0.036607243491001994,0.31695908629823044
Harvey-2017,AL092017,22073,0.02306086449921512,0.2351924975320829
Harvey-2017,AL092017,22075,0.25139186295503213,1.6951820128479658
Harvey-2017,AL092017,22077,0.12854780931386056,0.6358500964453018
Harvey-2017,AL092017,22079,0.017530370598185453,0.25643142079221354
Harvey-2017,AL092017,22081,0.3060626937650706,4.124311057526697
Harvey-2017,AL092017,22083,0.22070509233351987,0.3629546726357023
Harvey-2017,AL092017,22085,0.19302542570562164,3.7152437602052717
Harvey-2017,AL092017,22087,0.17251499848936078,0.2137662393715741
Harvey-2017,AL092017,22089,0.010176771848670082,0.09317693705600529
Harvey-2017,AL092017,22091,0.07424315233061028,0.684106198942816
Harvey-2017,AL092017,22093,0.045743108096356205,0.06272284546482303
Harvey-2017,AL092017,22095,0.026978091616874887,0.21379911280101394
Harvey-2017,AL092017,22097,0.02728426395939086,0.2654610829103215
Harvey-2017,AL092017,22099,0.047619047619047616,0.4835228208930631
Harvey-2017,AL092017,22101,0.04918979392977011,0.26355155364682953
Harvey-2017,AL092017,22103,0.00919677442931274,0.07247941384266816
Harvey-2017,AL092017,22105,0.028014593990062887,0.5138606237280677
Harvey-2017,AL092017,22107,0.284375,1.06453125
Harvey-2017,AL092017,22109,0.03290041156320083,0.08867092195085886
Harvey-2017,AL092017,22111,0.026089409110139614,0.3035538005923001
Harvey-2017,AL092017,22113,0.08645567131904855,0.29468252408099077
Harvey-2017,AL092017,22115,0.03733741392501913,1.7026523845957664
Harvey-2017,AL092017,22117,0.27761469884757556,0.7938954120460969
Harvey-2017,AL092017,22119,0.08310381355932203,0.37411281779661015
Harvey-2017,AL092017,22121,0.013967534918837296,0.10593620234050585
Harvey-2017,AL092017,22123,0.2388966806919121,0.6113253856942497
Harvey-2017,AL092017,22125,0.14184602051133902,0.35775675285280945
Harvey-2017,AL092017,22127,0.01943020622243414,0.3247705328406246
Harvey-2017,AL092017,48001,0.014103448275862069,0.022810344827586208
Harvey-2017,AL092017,48003,0,0
Harvey-2017,AL092017,48005,0.010894908643859426,0.12919687142312095
Harvey-2017,AL092017,48007,0,0
Harvey-2017,AL092017,48009,0,0
Harvey-2017,AL092017,48011,0.00663716814159292,0.023783185840707963
Harvey-2017,AL092017,48013,0.0018428812131423757,0.005252211457455771
Harvey-2017,AL092017,48015,0.005214723926380368,0.060787321063394684
Harvey-2017,AL092017,48017,4.1177681696520483e-4,0.0015441630636195182
Harvey-2017,AL092017,48019,0,0
Harvey-2017,AL092017,48021,0.06960960287188692,1.4944749831725377
Harvey-2017,AL092017,48023,0,0
Harvey-2017,AL092017,48025,0,0
Harvey-2017,AL092017,48027,0,0
Harvey-2017,AL092017,48029,0.008532226674969208,0.08703856972474736
Harvey-2017,AL092017,48031,9.43930526713234e-4,0.006513120634321314
Harvey-2017,AL092017,48033,0,0
Harvey-2017,AL092017,48035,0,0
Harvey-2017,AL092017,48037,0.001547286265056121,0.014878738918951265
Harvey-2017,AL092017,48039,0,0
Harvey-2017,AL092017,48041,5.541888567489389e-4,0.0011320321159200887
Harvey-2017,AL092017,48043,0,0
Harvey-2017,AL092017,48045,0,0
Harvey-2017,AL092017,48047,0,0
Harvey-2017,AL092017,48049,0,0
Harvey-2017,AL092017,48051,0.23248259860788864,3.299767981438515
Harvey-2017,AL092017,48053,0.003767452168131787,0.03335303242963729
Harvey-2017,AL092017,48055,0.03531126575136355,0.4847423359037051
Harvey-2017,AL092017,48057,0,0
Harvey-2017,AL092017,48059,0,0
Harvey-2017,AL092017,48061,3.5836964685340015e-4,0.0014782747932702755
Harvey-2017,AL092017,48063,0.012428619415518979,0.02363957003694995
Harvey-2017,AL092017,48065,0.014807738237401481,0.051050871745880105
Harvey-2017,AL092017,48067,0.01705589084229861,0.17062450800314877
Harvey-2017,AL092017,48069,0.007874015748031496,0.017913385826771655
Harvey-2017,AL092017,48071,0.22690572760698988,9.356023274326219
Harvey-2017,AL092017,48073,0,0
Harvey-2017,AL092017,48075,0.0016319869441044472,4.079967360261118e-4
Harvey-2017,AL092017,48077,0,0
Harvey-2017,AL092017,48079,0.02748930971288943,0.05742211362248015
Harvey-2017,AL092017,48081,0,0
Harvey-2017,AL092017,48083,0,0
Harvey-2017,AL092017,48085,1.797517987163325e-4,0.0010635314757383005
Harvey-2017,AL092017,48087,0.0032025620496397116,0.01120896717373899
Harvey-2017,AL092017,48089,0.003437269825681316,0.0019334642769457402
Harvey-2017,AL092017,48091,0.016981627871329407,0.046989620513718876
Harvey-2017,AL092017,48093,0,0
Harvey-2017,AL092017,48095,0,0
Harvey-2017,AL092017,48097,9.494422027059103e-4,0.0025961310230239736
Harvey-2017,AL092017,48099,0,0
Harvey-2017,AL092017,48101,0,0
Harvey-2017,AL092017,48103,0,0
Harvey-2017,AL092017,48105,0,0
Harvey-2017,AL092017,48107,3.832886163280951e-4,0.007953238788807973
Harvey-2017,AL092017,48109,0.007,0.01725
Harvey-2017,AL092017,48111,1,2.503482972136223
Harvey-2017,AL092017,48113,1.0544574552778232e-6,3.6906010934723813e-6
Harvey-2017,AL092017,48115,0,0
Harvey-2017,AL092017,48117,0.00536879491203436,0.014640290740893697
Harvey-2017,AL092017,48119,0,0
Harvey-2017,AL092017,48121,0.0021159759187513337,0.015358859296618345
Harvey-2017,AL092017,48123,0.23717119448037946,7.737020267356619
Harvey-2017,AL092017,48125,0,0
Harvey-2017,AL092017,48127,0,0
Harvey-2017,AL092017,48129,0.01643192488262911,0.06132629107981221
Harvey-2017,AL092017,48131,0.004101014461472048,0.04958989855385279
Harvey-2017,AL092017,48133,0,0
Harvey-2017,AL092017,48135,0,0
Harvey-2017,AL092017,48137,0.3466981132075472,2.0212264150943398
Harvey-2017,AL092017,48139,0,0
Harvey-2017,AL092017,48141,0.018575957697634225,0.0898789358024974
Harvey-2017,AL092017,48143,0,0
Harvey-2017,AL092017,48145,4.8123195380173246e-4,0.0015640038498556305
Harvey-2017,AL092017,48147,0,0
Harvey-2017,AL092017,48149,0.051982851018220796,0.2604501607717042
Harvey-2017,AL092017,48151,0,0
Harvey-2017,AL092017,48153,0.04309116809116809,0.0405982905982906
Harvey-2017,AL092017,48155,0,0
Harvey-2017,AL092017,48157,0,0
Harvey-2017,AL092017,48159,0.2503192848020434,0.1231527093596059
Harvey-2017,AL092017,48161,0,0
Harvey-2017,AL092017,48163,0,0
Harvey-2017,AL092017,48165,0.01773484247711052,0.021033090620719487
Harvey-2017,AL092017,48167,0.03514724312946178,0.9301434694400399
Harvey-2017,AL092017,48169,0.08020794652803565,0.2033048644634237
Harvey-2017,AL092017,48171,0,0
Harvey-2017,AL092017,48173,0,0
Harvey-2017,AL092017,48175,0.45438519171441166,5.563023358307625
Harvey-2017,AL092017,48177,0.6392341763109015,10.441991713101872
Harvey-2017,AL092017,48179,0.009995776432493313,0.04005349852175137
