storm_id,usa_atcf_id,geoid,max_pct_out,avg_customer_hrs_out
Florence-2018,AL062018,37001,1,15.704054054054055
Florence-2018,AL062018,37003,0.16036505867014342,0.9319498768651311
Florence-2018,AL062018,37005,0.07640803465931469,0.2581725088617566
Florence-2018,AL062018,37007,0.7922323965898327,36.01432743921693
Florence-2018,AL062018,37009,0.02102136410373586,0.20340169084885182
Florence-2018,AL062018,37011,0.006320446644896239,0.08761719161487412
Florence-2018,AL062018,37013,0.5262170385395537,33.80526115618661
Florence-2018,AL062018,37015,0.1867191342843089,1.3444909001475651
Florence-2018,AL062018,37017,0.942337262942081,83.22116863147104
Florence-2018,AL062018,37019,1,71.82676719041409
Florence-2018,AL062018,37021,0.5022000676943906,2.6386273423797655
Florence-2018,AL062018,37023,0.05439076268611364,0.424567000911577
Florence-2018,AL062018,37025,0.05698539542573712,1.0788440341691927
Florence-2018,AL062018,37027,0.0217110125646711,0.19135139504804138
Florence-2018,AL062018,37029,0.004202359786649426,0.0122838209148214
Florence-2018,AL062018,37031,0.6258368837492392,83.35501623047271
Florence-2018,AL062018,37033,0.22362204724409449,1.5849081364829396
Florence-2018,AL062018,37035,0.12222902633190447,1.5215554194733618
Florence-2018,AL062018,37037,1,48.649196734263896
Florence-2018,AL062018,37039,0.0823019801980198,0.2991336633663366
Florence-2018,AL062018,37041,0.007636756038847846,0.018469328463517887
Florence-2018,AL062018,37043,0.004150669295423887,0.00441008612638788
Florence-2018,AL062018,37045,0.09452076592584735,1.2454251312788416
Florence-2018,AL062018,37047,1,89.6943393736805
Florence-2018,AL062018,37049,0.5008420631975566,54.39140239203037
Florence-2018,AL062018,37051,0.3833079357636854,18.285506868000127
Florence-2018,AL062018,37053,0.010339983141331836,0.038943523461646534
Florence-2018,AL062018,37055,0.1024002031918046,0.20376328154764425
Florence-2018,AL062018,37057,0.09233347520749095,0.9606565226643967
Florence-2018,AL062018,37059,0.08268156424581005,0.8189106145251397
Florence-2018,AL062018,37061,1,122.56370166342623
Florence-2018,AL062018,37063,0.5870505992010653,10.534537283621837
Florence-2018,AL062018,37065,0.015950920245398775,0.2768916155419223
Florence-2018,AL062018,37067,0.1603439011284256,3.7661114096363963
Florence-2018,AL062018,37069,0.05275498241500586,1.0260111371629543
Florence-2018,AL062018,37071,0.08465530022238696,1.6769617706237425
Florence-2018,AL062018,37073,0.10402930402930403,0.33754578754578757
Florence-2018,AL062018,37075,NA,NA
Florence-2018,AL062018,37077,0.2986708365910868,2.415793588741204
Florence-2018,AL062018,37079,0.41370512119555314,12.693092764716603
Florence-2018,AL062018,37081,0.1284366318612894,3.353452198486445
Florence-2018,AL062018,37083,0.02723235967529314,0.24030389231943383
Florence-2018,AL062018,37085,1,46.50318449682683
Florence-2018,AL062018,37087,NA,NA
Florence-2018,AL062018,37089,1,176.82291666666666
Florence-2018,AL062018,37091,0.037039680274050815,0.1338138738224379
Florence-2018,AL062018,37093,0.7823729863692689,48.86196948574969
Florence-2018,AL062018,37095,1,38.818214285714284
Florence-2018,AL062018,37097,0.10284967468818365,1.074033298292468
Florence-2018,AL062018,37099,NA,NA
Florence-2018,AL062018,37101,1,51.06166835406422
Florence-2018,AL062018,37103,1,181.81721854304635
Florence-2018,AL062018,37105,0.7480676513354251,21.80391444095814
Florence-2018,AL062018,37107,0.5623184578822287,37.47836348032744
Florence-2018,AL062018,37109,0.03450299260650158,0.22836717130227283
Florence-2018,AL062018,37111,0.08374859347371805,0.6656687027809034
Florence-2018,AL062018,37113,NA,NA
Florence-2018,AL062018,37115,0.010757507844016136,0.017256835499775885
Florence-2018,AL062018,37117,0.051450094161958566,0.38508474576271184
Florence-2018,AL062018,37119,1,36.63284466846514
Florence-2018,AL062018,37121,0.29952830188679247,2.054982311320755
Florence-2018,AL062018,37123,1,61.010817784835254
Florence-2018,AL062018,37125,1,109.52947617379117
Florence-2018,AL062018,37127,0.1041420569294669,0.9728975345806501
Florence-2018,AL062018,37129,1,221.8873820754717
