storm_id,usa_atcf_id,geoid,DATE,PRCPpred
Matthew-2016,AL142016,37019020101,2016-09-23,266.83747037759855
Matthew-2016,AL142016,37019020102,2016-09-23,189.9772540695038
Matthew-2016,AL142016,37019020103,2016-09-23,196.87571777987205
Matthew-2016,AL142016,37019020104,2016-09-23,266.23422623408004
Matthew-2016,AL142016,37019020201,2016-09-23,243.85876838989785
Matthew-2016,AL142016,37019020202,2016-09-23,305.85867586291243
Matthew-2016,AL142016,37019020203,2016-09-23,292.2555582097177
Matthew-2016,AL142016,37019020204,2016-09-23,307.3496070781136
Matthew-2016,AL142016,37019020303,2016-09-23,268.8945675563521
Matthew-2016,AL142016,37019020304,2016-09-23,280.106933968361
Matthew-2016,AL142016,37019020305,2016-09-23,320.5450677235684
Matthew-2016,AL142016,37019020306,2016-09-23,358.83382800526863
Matthew-2016,AL142016,37019020307,2016-09-23,318.48181285129624
Matthew-2016,AL142016,37019020308,2016-09-23,262.99766155384305
Matthew-2016,AL142016,37019020309,2016-09-23,282.4315533084458
Matthew-2016,AL142016,37019020310,2016-09-23,305.4065019953536
Matthew-2016,AL142016,37019020402,2016-09-23,281.9802440587058
Matthew-2016,AL142016,37019020403,2016-09-23,319.5053864052849
Matthew-2016,AL142016,37019020404,2016-09-23,282.43721326463384
Matthew-2016,AL142016,37019020405,2016-09-23,280.7224766731943
Matthew-2016,AL142016,37019020504,2016-09-23,332.2045641951988
Matthew-2016,AL142016,37019020505,2016-09-23,339.2357758326401
Matthew-2016,AL142016,37019020506,2016-09-23,341.21083024615945
Matthew-2016,AL142016,37019020507,2016-09-23,344.75644530884176
Matthew-2016,AL142016,37019020508,2016-09-23,346.83825994614966
Matthew-2016,AL142016,37019020509,2016-09-23,369.7867911268406
Matthew-2016,AL142016,37019020510,2016-09-23,346.27181698108495
Matthew-2016,AL142016,37019020511,2016-09-23,344.42551420952816
Matthew-2016,AL142016,37019020512,2016-09-23,355.51067108826965
Matthew-2016,AL142016,37019020601,2016-09-23,336.54408480531464
Matthew-2016,AL142016,37019020602,2016-09-23,235.79205155474853
Matthew-2016,AL142016,37019020603,2016-09-23,266.8919841890837
Matthew-2016,AL142016,37019990100,2016-09-23,347.1904154444321
Matthew-2016,AL142016,37021000100,2016-09-23,0
Matthew-2016,AL142016,37021000200,2016-09-23,0
Matthew-2016,AL142016,37021000300,2016-09-23,0
Matthew-2016,AL142016,37021000400,2016-09-23,0
Matthew-2016,AL142016,37021000500,2016-09-23,0
Matthew-2016,AL142016,37021000600,2016-09-23,0
Matthew-2016,AL142016,37021000700,2016-09-23,0
Matthew-2016,AL142016,37021000800,2016-09-23,0
Matthew-2016,AL142016,37021000900,2016-09-23,0
Matthew-2016,AL142016,37021001000,2016-09-23,0
Matthew-2016,AL142016,37021001100,2016-09-23,0
Matthew-2016,AL142016,37021001200,2016-09-23,0
Matthew-2016,AL142016,37021001300,2016-09-23,0
Matthew-2016,AL142016,37021001400,2016-09-23,0
Matthew-2016,AL142016,37021001500,2016-09-23,0
Matthew-2016,AL142016,37021001600,2016-09-23,0
Matthew-2016,AL142016,37021001700,2016-09-23,0
Matthew-2016,AL142016,37021001801,2016-09-23,0
Matthew-2016,AL142016,37021001802,2016-09-23,0
Matthew-2016,AL142016,37021001900,2016-09-23,0
Matthew-2016,AL142016,37021002000,2016-09-23,0
Matthew-2016,AL142016,37021002101,2016-09-23,0
Matthew-2016,AL142016,37021002102,2016-09-23,0
Matthew-2016,AL142016,37021002203,2016-09-23,0
Matthew-2016,AL142016,37021002204,2016-09-23,0
Matthew-2016,AL142016,37021002205,2016-09-23,0.5153041975791673
Matthew-2016,AL142016,37021002206,2016-09-23,0.49758079640252867
Matthew-2016,AL142016,37021002301,2016-09-23,0
Matthew-2016,AL142016,37021002302,2016-09-23,0
Matthew-2016,AL142016,37021002401,2016-09-23,0.8639778289126954
Matthew-2016,AL142016,37021002402,2016-09-23,0
Matthew-2016,AL142016,37021002503,2016-09-23,0.47025672604923274
Matthew-2016,AL142016,37021002504,2016-09-23,0.5468790120377182
Matthew-2016,AL142016,37021002505,2016-09-23,0
Matthew-2016,AL142016,37021002506,2016-09-23,0
Matthew-2016,AL142016,37021002603,2016-09-23,1.1874750461152095
Matthew-2016,AL142016,37021002604,2016-09-23,0.3654020176588193
Matthew-2016,AL142016,37021002605,2016-09-23,0
Matthew-2016,AL142016,37021002606,2016-09-23,0
Matthew-2016,AL142016,37021002607,2016-09-23,0
Matthew-2016,AL142016,37021002701,2016-09-23,0
Matthew-2016,AL142016,37021002702,2016-09-23,0
Matthew-2016,AL142016,37021002703,2016-09-23,0
Matthew-2016,AL142016,37021002803,2016-09-23,0
Matthew-2016,AL142016,37021002804,2016-09-23,0
Matthew-2016,AL142016,37021002900,2016-09-23,0
Matthew-2016,AL142016,37021003001,2016-09-23,0
Matthew-2016,AL142016,37021003002,2016-09-23,0.5930201381941973
Matthew-2016,AL142016,37021003102,2016-09-23,5.091462577673263
Matthew-2016,AL142016,37021003103,2016-09-23,4.629598441735498
Matthew-2016,AL142016,37021003104,2016-09-23,4.2840248245956944
Matthew-2016,AL142016,37021003201,2016-09-23,0
Matthew-2016,AL142016,37021003202,2016-09-23,0.9868652343317085
Matthew-2016,AL142016,37021003203,2016-09-23,2.263520345562084
Matthew-2016,AL142016,37021003204,2016-09-23,3.5961257265865463
Matthew-2016,AL142016,37021003205,2016-09-23,5.473345152622253
Matthew-2016,AL142016,37023020100,2016-09-23,9.921760038162688
Matthew-2016,AL142016,37023020201,2016-09-23,8.671429466439339
Matthew-2016,AL142016,37023020202,2016-09-23,9.960805810171532
Matthew-2016,AL142016,37023020301,2016-09-23,7.752228370694373
Matthew-2016,AL142016,37023020302,2016-09-23,8.723200466506153
Matthew-2016,AL142016,37023020500,2016-09-23,9.247761723200657
Matthew-2016,AL142016,37023020600,2016-09-23,9.221747252147631
