storm_id,usa_atcf_id,geoid,max_pct_out,avg_customer_hrs_out
Matthew-2016,AL142016,37001,1,27.044324324324325
Matthew-2016,AL142016,37003,0.08054469071418224,0.27578589019266986
Matthew-2016,AL142016,37005,0.018248654325850072,0.04821452015229093
Matthew-2016,AL142016,37007,0.8440164193242816,33.32629460056836
Matthew-2016,AL142016,37009,0.03398834685250771,0.07543128070375871
Matthew-2016,AL142016,37011,0.0016854524386389971,0.005425050036869272
Matthew-2016,AL142016,37013,0.2389452332657201,12.763552231237323
Matthew-2016,AL142016,37015,0.44279390063944907,13.160059026069847
Matthew-2016,AL142016,37017,0.7254399453271826,52.52498718605843
Matthew-2016,AL142016,37019,0.6847885710106415,16.897476138815414
Matthew-2016,AL142016,37021,0.09507984861072648,1.2058063325025385
Matthew-2016,AL142016,37023,0.01600324116276714,0.05792312367061683
Matthew-2016,AL142016,37025,0.04494351060898319,0.3754202259575641
Matthew-2016,AL142016,37027,0.011317442719881745,0.08817789172209904
Matthew-2016,AL142016,37029,0.4341360918053984,10.496524971714885
Matthew-2016,AL142016,37031,0.28060965713126396,8.31312766281193
Matthew-2016,AL142016,37033,0.4356955380577428,2.7383202099737534
Matthew-2016,AL142016,37035,0.11745254133496633,1.3135946111451318
Matthew-2016,AL142016,37037,1,50.989136160126414
Matthew-2016,AL142016,37039,0.0011757425742574257,0.0073793316831683164
Matthew-2016,AL142016,37041,0.129326803353532,2.109031294098116
Matthew-2016,AL142016,37043,0,0
Matthew-2016,AL142016,37045,0.07553174561077812,0.18154935554023233
Matthew-2016,AL142016,37047,1,69.47786549964813
Matthew-2016,AL142016,37049,0.347986184454657,13.73918876487883
Matthew-2016,AL142016,37051,0.3201052844705406,17.034950075127078
Matthew-2016,AL142016,37053,0.8411351503231245,36.134953638662545
Matthew-2016,AL142016,37055,0.884476992761292,27.50336536426364
Matthew-2016,AL142016,37057,0.03588529474356246,0.3250691636518408
Matthew-2016,AL142016,37059,0.017094972067039107,0.06952513966480448
Matthew-2016,AL142016,37061,1,58.033808597969326
Matthew-2016,AL142016,37063,1,31.82623169107856
Matthew-2016,AL142016,37065,0.07044989775051125,1.8118098159509202
Matthew-2016,AL142016,37067,0.2028300197026688,0.7545853483790077
Matthew-2016,AL142016,37069,0.39892291910902694,14.253892511723329
Matthew-2016,AL142016,37071,0.12866673726569947,0.6496452398602139
Matthew-2016,AL142016,37073,0.2796703296703297,4.613965201465201
Matthew-2016,AL142016,37075,1,26
Matthew-2016,AL142016,37077,0.16622361219702894,4.4456606724003125
Matthew-2016,AL142016,37079,0.5101148168398032,31.114907964279205
Matthew-2016,AL142016,37081,0.20571893859565094,1.491707778522847
Matthew-2016,AL142016,37083,0.13206827169916047,2.0038073267189342
Matthew-2016,AL142016,37085,1,67.10559836808703
Matthew-2016,AL142016,37087,1,59.25
Matthew-2016,AL142016,37089,1,84.51041666666667
Matthew-2016,AL142016,37091,0.13802455038538394,2.9725057093919496
Matthew-2016,AL142016,37093,0.40597893432465926,24.40584340148699
Matthew-2016,AL142016,37095,0,0
Matthew-2016,AL142016,37097,0.03605420916555388,0.17778503849759922
Matthew-2016,AL142016,37099,1,98.75
Matthew-2016,AL142016,37101,1,80.26245660977726
Matthew-2016,AL142016,37103,1,33.47505518763797
Matthew-2016,AL142016,37105,1,45.03286905946277
Matthew-2016,AL142016,37107,0.6925006601531555,36.78658898864536
Matthew-2016,AL142016,37109,0.026014161092203576,0.09652622931580801
Matthew-2016,AL142016,37111,0.006108342710175213,0.07697717408776723
Matthew-2016,AL142016,37113,1,59.75
Matthew-2016,AL142016,37115,0.0031376064545047063,0.007395786642761094
Matthew-2016,AL142016,37117,0.36165725047080977,11.252768361581921
Matthew-2016,AL142016,37119,0.37849637938378533,6.926274314922618
Matthew-2016,AL142016,37121,0.27889150943396224,2.5315448113207544
Matthew-2016,AL142016,37123,1,29.69730051607781
Matthew-2016,AL142016,37125,1,101.43202522775053
Matthew-2016,AL142016,37127,0.4505582441031894,18.582383873794917
Matthew-2016,AL142016,37129,1,78.19084119496856
Matthew-2016,AL142016,37131,0.16534391534391535,2.6830770502645502
Matthew-2016,AL142016,37133,0.3881728875098173,8.53482406107971
Matthew-2016,AL142016,37135,0.2281479935291969,2.8940666910191517
Matthew-2016,AL142016,37137,1,49.962865819988956
Matthew-2016,AL142016,37139,0.09190551550319442,1.522360940155911
Matthew-2016,AL142016,37141,0.9978983050847458,29.635966101694915
Matthew-2016,AL142016,37143,0.09814088782091818,1.7297647653977488
Matthew-2016,AL142016,37145,0.11513277555474719,1.5908512186249546
Matthew-2016,AL142016,37147,0.0360643128303104,2.833939160856512
Matthew-2016,AL142016,37149,0.011505273250239693,0.2599232981783317
Matthew-2016,AL142016,37151,0.11812509998400256,2.2872660374340104
Matthew-2016,AL142016,37153,0.591168996188056,27.06531925031766
Matthew-2016,AL142016,37155,0.716582582085849,61.600889091059464
Matthew-2016,AL142016,37157,0.19265080713678845,1.6209908666100254
Matthew-2016,AL142016,37159,0.14199752227007256,1.0819715650994042
Matthew-2016,AL142016,37161,0.10742518351214003,0.16614906832298137
Matthew-2016,AL142016,37163,1,81.76316941297631
Matthew-2016,AL142016,37165,0.671800722570831,40.15062274196615
Matthew-2016,AL142016,37167,0.08762236725007416,1.3853270542865619
Matthew-2016,AL142016,37169,0.013297020185837873,0.07830022428708747
Matthew-2016,AL142016,37171,0.12420528886022297,1.9629595503547406
Matthew-2016,AL142016,37173,1,31
Matthew-2016,AL142016,37175,1,92
Matthew-2016,AL142016,37177,1,46.17369883779687
